RF Band,IF Band,Total,Attacks,Benign,Attack Rate
RF < 0.01,IF < 0.10,222165,114,222051,0.0005131321315238674
RF < 0.01,IF 0.10-0.30,149127,32565,116562,0.21837091874710818
RF < 0.01,IF 0.30-0.50,41168,147,41021,0.0035707345511076564
RF < 0.01,IF 0.50-0.70,18017,1,18016,5.5503135927179885e-05
RF < 0.01,IF >= 0.70,23840,26,23814,0.0010906040268456375
RF 0.01-0.10,IF < 0.10,37349,28511,8838,0.7633671584245897
RF 0.01-0.10,IF 0.10-0.30,66259,56045,10214,0.8458473565855205
RF 0.01-0.10,IF 0.30-0.50,9090,646,8444,0.07106710671067107
RF 0.01-0.10,IF 0.50-0.70,2857,77,2780,0.02695134756737837
RF 0.01-0.10,IF >= 0.70,10275,218,10057,0.02121654501216545
RF 0.10-0.30,IF < 0.10,3439,2776,663,0.8072113986624019
RF 0.10-0.30,IF 0.10-0.30,17301,16703,598,0.9654355239581527
RF 0.10-0.30,IF 0.30-0.50,684,556,128,0.8128654970760234
RF 0.10-0.30,IF 0.50-0.70,313,40,273,0.12779552715654952
RF 0.10-0.30,IF >= 0.70,3736,84,3652,0.022483940042826552
RF 0.30-0.70,IF < 0.10,960,393,567,0.409375
RF 0.30-0.70,IF 0.10-0.30,2691,2488,203,0.924563359345968
RF 0.30-0.70,IF 0.30-0.50,23,6,17,0.2608695652173913
RF 0.30-0.70,IF 0.50-0.70,844,835,9,0.9893364928909952
RF 0.30-0.70,IF >= 0.70,113,104,9,0.9203539823008849
RF >= 0.70,IF < 0.10,157,58,99,0.36942675159235666
RF >= 0.70,IF 0.10-0.30,70,57,13,0.8142857142857143
RF >= 0.70,IF 0.50-0.70,57974,57974,0,1.0
RF >= 0.70,IF >= 0.70,22557,22543,14,0.9993793500908809
