event,current_risk,progressive_risk,risk_level,alert
1,0.039359276437224644,0.01574371057488986,NORMAL,NORMAL
2,0.09843191109137756,0.04881899078148494,NORMAL,NORMAL
3,0.044942846373981285,0.04726853301848348,NORMAL,NORMAL
4,0.0380525861512014,0.043582154271570646,NORMAL,NORMAL
5,0.10476693680736375,0.0680560672858879,NORMAL,NORMAL
6,0.07191814149145528,0.06960089696811485,NORMAL,NORMAL
7,0.7739907492082067,0.35135683786415156,WATCH,WATCH
8,0.9893272358981318,0.6065449970777437,HIGH,EARLY WARNING
9,0.9874106092736417,0.7588912419561029,HIGH,EARLY WARNING
10,0.987668202069288,0.8504020260013769,CRITICAL,CRITICAL ALERT
11,0.9893272358981318,0.9059721099600788,CRITICAL,CRITICAL ALERT
